TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2016,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,665398.39
2019,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,807590.596
2018,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,747103.675
2002,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,160694.763
1999,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,135403.718
2005,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,205184.272
2010,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,307855.67
2013,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,392670.388
2000,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,145355.726
2009,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,271327.841
2011,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,349147.748
2008,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,275754.676
2003,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,171606.243
2004,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,187973.653
2021,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,565981.847
2020,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,491062.045
2015,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,405311.397
2022,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,602631.465
2014,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,402902.197
2012,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,374316.6
1996,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,116331.729
1997,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,127084.973
1998,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,133888.46
2023,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,644836.891
2016,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,424831.691
2019,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,491687.97
2018,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,478093.905
2017,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,450891.85
2001,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,153318.301
2006,A,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,256070.328
1998,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,793682.05
2001,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,937793.044
2006,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1241618.911
2007,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1301593.852
2002,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,971009.088
1999,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,846421.343
2005,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1171340.162
2010,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1363578.975
2008,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1342396.613
2013,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1554122.745
2000,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,901003.29
2009,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1307000.658
2011,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1430807.125
1994,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,656367.112
1995,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,688183.628
2003,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1023686.549
2004,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1083615.23
2021,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,2179488.964
2020,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1847838.765
2015,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1594899.224
2022,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,2475480.404
1990,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,560184.877
1991,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,567047.864
1992,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,585191.62
1993,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,615002.847
2023,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,2583898.981
2014,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1621396.709
2016,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1678093.396
2019,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1899694.991
2010,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,943427.031
2006,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,776413.103
2010,A,BEL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,434128.241
2011,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,32724.518
2008,A,EST,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,30490.336
