TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
1993,A,SWE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,8714.5
1993,A,ESP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,39590.491872
1993,A,PRT,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,9973.8
1993,A,NOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4312.0
1993,A,KOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,44195.0
1993,A,JPN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,124938.0
1993,A,ITA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,56831.8
1993,A,IRL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3574.0
1993,A,ISL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,263.8
1993,A,DEU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,80946.0
1993,A,FIN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5066.4
1993,A,DNK,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5189.326
1993,A,CRI,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3238.595
1993,A,CHL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,13908.473
1993,A,CAN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,28684.764
1993,A,AUS,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,17634.8
1992,A,ZAF,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,37745.4998
1992,A,SGP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3231.0
1992,A,RUS,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,148538.19
1992,A,IDN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,182316.534
1992,A,CHN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1171710.0
1992,A,USA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,256922.0
1992,A,TUR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,56986.0
1992,A,CHE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,6943.095
1992,A,ESP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,39504.113427
1999,A,NOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4462.0
1999,A,NLD,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,15812.0
1999,A,LUX,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,431.338
1999,A,LTU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3524.238
1999,A,LVA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,2390.112
1999,A,KOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,46617.0
1999,A,JPN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,126587.0
1999,A,ITA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,56916.3
1999,A,ISL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,277.4
1999,A,HUN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10237.53
1999,A,GRC,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10761.705
1999,A,DEU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,81422.0
1999,A,FIN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5165.5
1999,A,EST,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1379.2
1999,A,DNK,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5320.516
1999,A,CZE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10282.784
1999,A,CRI,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3787.072
1999,A,CHL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,15197.213
