Country,GDP per capita,GDP per capita growth rates,Total tax revenue,Taxes on goods and services,"Taxes on income, profits, and capital gains",Taxes on property,Social security contributions
Morocco,7752.321500883239,2.9750216663202,25.02091304347826,11.132434782608696,7.573521739130436,1.4703043478260869,4.627000000000001
Netherlands,41941.183445423085,4.348958726415496,37.140088235294115,11.068029411764707,10.632294117647058,1.5696470588235296,13.732911764705882
New Zealand,29679.804968549113,4.062523378816801,33.053676470588236,11.882823529411764,19.26,1.9089117647058824,0.0
Norway,51112.387514239796,5.772519398502075,40.7315,12.606764705882355,17.507441176470593,1.0639117647058824,9.540411764705883
Poland,19429.111593341775,6.261459284565303,34.182818181818185,12.321848484848486,7.691090909090909,1.3677878787878788,12.197212121212122
Portugal,24723.35178421509,4.380345797598948,31.620676470588236,13.049588235294117,8.804911764705883,1.1310294117647057,8.514235294117647
Romania,18319.350816831316,8.366471705684319,27.24767857142857,11.055964285714285,6.212535714285715,0.5963928571428572,9.320535714285715
Senegal,2875.6300544677356,3.3481763715546045,15.571423076923079,10.119961538461537,3.813423076923077,0.3978076923076923,0.8137307692307694
Singapore,67423.1329978779,5.742442948814191,13.002625000000002,4.068833333333333,6.2947500000000005,1.6945833333333333,0.0
Slovak Republic,21619.547728418154,6.017198622115892,32.883482758620694,11.82441379310345,6.9209310344827575,0.48489655172413787,13.653172413793103
Slovenia,28615.480371106598,5.103219049889178,37.76262068965517,13.840758620689655,7.246034482758621,0.6167241379310345,15.405655172413793
South Africa,11158.003788450722,2.4921889927112466,22.98951515151515,9.162636363636365,12.402030303030303,0.914,0.22766666666666666
Spain,29034.628420480713,4.338253143057315,33.46491176470588,9.533264705882354,9.832970588235295,2.2617058823529415,11.829852941176469
Sweden,38718.161907071764,3.673024844170159,44.84005882352941,12.190323529411767,16.941882352941178,1.2719117647058822,11.285882352941178
Switzerland,50538.42094345568,3.650505168502514,26.01035294117647,5.573,11.808941176470588,2.134205882352941,6.4137352941176475
Türkiye,17603.478138292354,5.379163061680972,22.088235294117652,9.35914705882353,5.519588235294117,0.8097941176470588,5.210823529411765
United Kingdom,34235.362909758456,3.824342002322489,32.03329411764706,10.4455,11.909176470588235,3.608,5.918235294117647
United States,46115.83069664861,3.851175148068937,25.884941176470587,4.461999999999999,12.011382352941174,3.073823529411765,6.3327647058823535
Zambia,3193.3538088917358,2.3751271947233943,15.161000000000001,7.404363636363636,7.616636363636363,0.10981818181818183,
