TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2021,A,AUS,S1,S1,B1G,_Z,L,_Z,XDC,V,N,T0101,256565.0
2022,A,AUS,S1,S1,B1G,_Z,L,_Z,XDC,V,N,T0101,272291.0
2019,A,AUS,S1,S1,B1G,_Z,L,_Z,XDC,V,N,T0101,234930.0
2020,A,AUS,S1,S1,B1G,_Z,L,_Z,USD_EXC,V,N,T0101,167432.036
2020,A,AUS,S1,S1,B1G,_Z,K,_Z,USD_EXC,V,N,T0101,105896.756
2021,A,AUS,S1,S1,B1G,_Z,K,_Z,USD_EXC,V,N,T0101,121274.082
2022,A,AUS,S1,S1,B1G,_Z,K,_Z,USD_EXC,V,N,T0101,122763.656
2023,A,AUS,S1,S1,B1G,_Z,K,_Z,XDC,V,N,T0101,187254.0
2021,A,AUS,S1,S1,B1G,_Z,K,_Z,XDC,V,N,T0101,161443.0
2022,A,AUS,S1,S1,B1G,_Z,K,_Z,XDC,V,N,T0101,176984.0
2019,A,AUS,S1,S1,B1G,_Z,K,_Z,XDC,V,N,T0101,147172.0
2020,A,AUS,S1,S1,B1G,_Z,K,_Z,XDC,V,N,T0101,153877.0
2019,A,AUS,S1,S1,B1G,_Z,K,_Z,USD_EXC,V,N,T0101,102308.885
2023,A,AUS,S1,S1,B1G,_Z,J,_Z,USD_EXC,V,N,T0101,37417.177
2021,A,AUS,S1,S1,B1G,_Z,J,_Z,USD_EXC,V,N,T0101,37693.123
2022,A,AUS,S1,S1,B1G,_Z,J,_Z,USD_EXC,V,N,T0101,36449.536
2023,A,AUS,S1,S1,B1G,_Z,J,_Z,XDC,V,N,T0101,56320.0
2022,A,AUS,S1,S1,B1G,_Z,J,_Z,XDC,V,N,T0101,52548.0
2021,A,AUS,S1,S1,B1G,_Z,J,_Z,XDC,V,N,T0101,50178.0
2019,A,AUS,S1,S1,B1G,_Z,J,_Z,XDC,V,N,T0101,45022.0
