TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ,value
2023,SVN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1006.775
2018,TUR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,31369.97
2019,TUR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,31648.32
2021,TUR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,31819.5
2022,TUR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,33317.75
2023,TUR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,33844.5
2018,GBR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,32562.75
2018,RUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,74875.23
2019,RUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,73943.48
2020,RUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,73482.38
2021,RUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,73933.27
2018,ZAF,LF,PS,_Z,Y,_T,Y15T64,_Z,A,22496.41
2019,ZAF,LF,PS,_Z,Y,_T,Y15T64,_Z,A,22928.84
2020,ZAF,LF,PS,_Z,Y,_T,Y15T64,_Z,A,21344.0
2021,ZAF,LF,PS,_Z,Y,_T,Y15T64,_Z,A,22348.98
2022,ZAF,LF,PS,_Z,Y,_T,Y15T64,_Z,A,23377.64
2023,ZAF,LF,PS,_Z,Y,_T,Y15T64,_Z,A,24401.28
2021,CZE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5216.2
2020,LUX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,311.225
2020,TUR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,30076.78
2019,OECD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,631790.8
2019,DEU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,41299.5
2019,G7,LF,PS,_Z,Y,_T,Y15T64,_Z,A,360612.4
2020,DEU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,40611.75
2020,G7,LF,PS,_Z,Y,_T,Y15T64,_Z,A,355405.2
2021,OECD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,629345.9
2020,HUN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4541.625
2020,ISL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,195.75
2020,ITA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,24009.0
2020,NOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2768.0
2020,OECD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,618952.6
2018,OECD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,626378.6
2018,G7,LF,PS,_Z,Y,_T,Y15T64,_Z,A,358819.7
2021,G7,LF,PS,_Z,Y,_T,Y15T64,_Z,A,357549.5
2022,G7,LF,PS,_Z,Y,_T,Y15T64,_Z,A,362030.5
2023,G7,LF,PS,_Z,Y,_T,Y15T64,_Z,A,366742.5
2018,DEU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,41041.5
2021,DEU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,41004.75
2022,DEU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,41741.0
2023,DEU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,42141.75
2018,CAN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,19019.78
2019,CAN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,19289.53
2020,CAN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,19092.48
2018,HUN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4570.75
2019,HUN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4576.95
2018,AUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,12688.8
2019,AUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,12932.68
2019,NZL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2634.975
2018,CHL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8949.845
2019,CHL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9101.33
2020,CHL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8373.752
2022,AUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,13429.81
2022,CAN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,19827.82
2022,CHL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9117.808
2022,FRA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,30029.38
2022,HUN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4732.275
2022,NZL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2730.2
2022,PRT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5046.025
2022,CHE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4780.575
2022,OECD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,640509.0
2022,EA20,LF,PS,_Z,Y,_T,Y15T64,_Z,A,163372.1
2022,EU27_2020,LF,PS,_Z,Y,_T,Y15T64,_Z,A,210125.8
2021,AUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,13043.12
2021,CAN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,19548.7
2021,CHL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8662.666
2021,FRA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,29620.03
2021,HUN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4701.55
2021,NZL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2702.925
2021,PRT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4936.725
2021,CHE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4770.9
2021,BGR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2939.625
2021,EA20,LF,PS,_Z,Y,_T,Y15T64,_Z,A,160835.9
2021,EU27_2020,LF,PS,_Z,Y,_T,Y15T64,_Z,A,207430.3
2023,AUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,13864.17
2023,CAN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,20412.47
2023,CHL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9372.228
2023,FRA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,30252.8
2023,HUN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4775.25
2023,NZL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2827.1
2023,PRT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5167.35
2023,CHE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4849.6
2023,OECD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,649174.9
2023,EA20,LF,PS,_Z,Y,_T,Y15T64,_Z,A,165342.3
2023,EU27_2020,LF,PS,_Z,Y,_T,Y15T64,_Z,A,212050.6
2023,HRV,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1694.65
2018,HRV,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1694.725
2019,HRV,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1672.5
2020,HRV,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1664.95
2021,HRV,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1685.25
2022,HRV,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1695.85
2018,ROU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8063.25
2019,ROU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8090.75
2020,ROU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8087.75
2021,ROU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8124.5
2022,ROU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8191.1
2023,ROU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8066.775
2023,IRL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2689.575
2023,POL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,17362.88
2023,ESP,LF,PS,_Z,Y,_T,Y15T64,_Z,A,23765.28
2023,SWE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5488.925
2022,IRL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2609.7
2022,POL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,17317.88
2022,ESP,LF,PS,_Z,Y,_T,Y15T64,_Z,A,23294.8
2022,SWE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5408.85
2021,IRL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2482.375
2021,POL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,17339.7
2021,ESP,LF,PS,_Z,Y,_T,Y15T64,_Z,A,23005.8
2021,SWE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5326.725
2022,BGR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2965.4
2023,BGR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2951.375
2018,NOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2729.5
2019,NOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2756.0
2018,PRT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4944.0
2019,PRT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4955.5
2020,PRT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4868.5
2019,GBR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,32914.0
2020,GBR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,32790.75
2021,GBR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,32768.5
2022,GBR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,32875.25
