,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
113,2017,EGY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.892
114,2016,EGY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.023
115,2015,EGY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.919
116,2014,EGY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.01
117,2023,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.591
118,2022,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.921
119,2021,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.448
120,2020,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.675
121,2019,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.888
122,2018,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.063
123,2017,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.169
124,2016,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.866
125,2015,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.815
126,2014,ECU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.206
127,2023,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.29
128,2022,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.944
129,2021,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.486
130,2020,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.485
131,2019,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.405
132,2018,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.123
133,2017,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.123
134,2016,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.989
135,2015,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.911
136,2014,DOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.422
137,2022,COD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.506
138,2021,COD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.863
139,2020,COD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.2
140,2019,COD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.609
141,2018,COD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.608
142,2017,COD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,6.737
143,2016,COD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.306
144,2015,COD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.379
145,2014,COD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.069
146,2023,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.035
147,2022,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.33
148,2021,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.703
149,2020,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.506
150,2019,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.062
151,2018,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.285
152,2017,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.355
153,2016,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.148
154,2015,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.083
155,2014,CUB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.121
156,2022,HRV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.223
157,2021,HRV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.739
158,2020,HRV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.567
159,2019,HRV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.438
160,2018,HRV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.299
161,2017,HRV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.789
162,2016,HRV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.931
163,2015,HRV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.554
164,2014,HRV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.182
165,2022,CIV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.873
166,2021,CIV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.729
167,2020,CIV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.051
168,2019,CIV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.798
