,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
583,2016,SOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,1.198
584,2015,SOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,1.228
585,2014,SOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,1.148
586,2023,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.24
587,2022,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.563
588,2021,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.308
589,2020,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.877
590,2019,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.822
591,2018,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.455
592,2017,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.701
593,2016,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.583
594,2015,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.11
595,2014,SLB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.034
596,2023,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.665
597,2022,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.8
598,2021,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.122
599,2020,SGP,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.488
600,2021,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.749
601,2020,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.445
602,2019,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.45
603,2018,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.507
604,2017,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.374
605,2016,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.029
606,2015,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.526
607,2014,MYS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.321
608,2022,MUS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.272
609,2021,MUS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.98
610,2020,MUS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.245
611,2019,MUS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.429
612,2018,MUS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.684
613,2017,MUS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.247
614,2016,MUS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.96
615,2015,MUS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.821
616,2014,MUS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.928
617,2023,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.024
618,2022,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.912
619,2021,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.547
620,2020,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.925
621,2019,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.41
622,2018,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.371
623,2017,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.287
624,2016,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.539
625,2015,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.766
626,2014,JAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.762
627,2023,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.013
628,2022,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.302
629,2021,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.071
630,2020,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.419
631,2019,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.984
632,2018,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.15
633,2017,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.237
634,2016,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.227
635,2015,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.776
636,2014,GTM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.227
637,2023,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.527
638,2022,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.649
639,2021,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.419
640,2020,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.754
641,2019,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.012
642,2018,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.358
643,2017,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.881
644,2016,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.421
645,2015,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.391
646,2014,MLT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.868
647,2022,MLI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.917
648,2021,MLI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.839
649,2020,MLI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.608
650,2019,MLI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.106
651,2018,MLI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.823
652,2017,MLI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.259
653,2016,MLI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.948
654,2015,MLI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.582
655,2014,MLI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.176
656,2023,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.995
657,2022,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.589
658,2021,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.462
659,2020,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.589
660,2019,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.645
661,2018,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.913
662,2017,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.652
663,2016,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.227
664,2015,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.569
665,2014,HND,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.922
666,2023,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.913
667,2022,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.048
668,2021,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.927
669,2020,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.4
670,2019,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.358
671,2018,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.282
672,2017,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.263
673,2016,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.509
674,2015,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.102
675,2014,KGZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.437
676,2023,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.465
677,2022,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.754
678,2021,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.597
679,2020,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.061
680,2019,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.676
681,2018,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.96
682,2017,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.013
683,2016,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.916
684,2015,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.539
685,2014,KAZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.084
686,2023,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.551
687,2022,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.441
688,2021,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.677
689,2020,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.357
690,2019,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.299
691,2018,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.141
692,2017,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.773
693,2016,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.904
694,2015,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.54
695,2014,SO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.363
696,2022,SWZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.604
697,2021,SWZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.421
698,2020,SWZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.754
699,2019,SWZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.263
700,2018,SWZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.404
701,2017,SWZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.987
702,2016,SWZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.099
703,2015,SWZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.953
704,2014,SWZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.904
705,2022,GIN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.766
706,2021,GIN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.093
707,2020,GIN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.705
708,2019,GIN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.215
709,2018,GIN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.977
710,2017,GIN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.781
711,2016,GIN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.045
712,2015,GIN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.028
713,2014,GIN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.052
714,2022,MDG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.473
715,2021,MDG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.673
716,2020,MDG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.137
717,2019,MDG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.062
718,2018,MDG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.911
719,2017,MDG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.415
720,2016,MDG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.596
721,2015,MDG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.349
722,2014,MDG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.833
723,2023,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.048
724,2022,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.068
725,2021,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.866
726,2020,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.071
727,2019,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.588
728,2018,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.973
729,2017,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.612
730,2016,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.009
731,2015,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.111
732,2014,Indonesia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.163
733,2022,KEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.788
734,2021,KEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.419
735,2020,KEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.999
736,2019,KEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.497
737,2018,KEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.768
738,2017,KEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.518
739,2016,KEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.156
740,2015,KEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.018
741,2014,KEN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.444
742,2023,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.817
743,2022,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.253
744,2021,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.123
745,2020,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.685
746,2019,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.981
747,2018,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.31
748,2017,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.953
749,2016,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.525
750,2015,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.876
751,2014,SLV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.822
752,2023,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.401
753,2022,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.731
754,2021,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.314
755,2020,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.052
756,2019,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.851
757,2018,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.02
758,2017,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.968
759,2016,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.036
760,2015,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.187
761,2014,GEO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.828
762,2023,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.148
763,2022,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.108
764,2021,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.624
765,2020,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.4
766,2019,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.603
767,2018,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.906
768,2017,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.416
769,2016,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.137
770,2015,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.805
771,2014,MHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.452
772,2022,GHA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.961
773,2021,GHA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.048
774,2020,GHA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.131
775,2019,GHA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.193
776,2018,GHA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.67
777,2017,GHA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.449
778,2016,GHA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.092
779,2015,GHA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.855
780,2014,GHA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.938
781,2022,GAB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.419
782,2021,GAB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.321
783,2020,GAB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.838
784,2019,GAB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.09
785,2018,GAB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.372
786,2017,GAB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.885
787,2016,GAB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.316
788,2015,GAB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.314
789,2014,GAB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.451
790,2023,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.833
791,2022,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.803
792,2021,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.206
793,2020,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.672
794,2019,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.926
795,2018,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.342
796,2017,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.414
797,2016,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.361
798,2015,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.169
799,2014,Vietnam,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.729
800,2022,MRT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.673
801,2021,MRT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.397
802,2020,MRT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.565
803,2019,MRT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.786
804,2018,MRT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.139
805,2017,MRT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.442
806,2016,MRT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.173
807,2015,MRT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.53
808,2014,MRT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.125
809,2022,GNQ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.136
810,2021,GNQ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,5.939
811,2020,GNQ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.611
812,2019,GNQ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.783
813,2018,GNQ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,6.6
814,2017,GNQ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,6.65
815,2016,GNQ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.089
816,2015,GNQ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.006
817,2014,GNQ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.756
818,2018,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.731
819,2017,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.912
820,2016,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.242
821,2015,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.958
822,2014,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.325
823,2023,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.805
824,2022,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.78
825,2021,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.305
826,2020,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.581
827,2019,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.125
828,2018,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.761
829,2017,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.196
830,2016,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.998
831,2015,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.035
832,2014,Israel,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.642
833,2023,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.897
834,2022,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.255
835,2021,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.041
836,2020,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.37
837,2019,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.444
838,2018,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.758
839,2017,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.741
840,2016,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.032
841,2015,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.344
842,2014,Ireland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.899
843,2023,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.924
844,2022,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.166
845,2021,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.797
846,2020,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.225
847,2019,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.094
848,2018,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.457
849,2017,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.13
850,2016,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,50.286
851,2015,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.139
852,2014,Iceland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.111
853,2023,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.19
854,2022,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.149
855,2021,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.777
856,2020,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.969
857,2019,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.306
858,2018,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.79
859,2017,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.818
860,2016,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.038
861,2015,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.666
862,2014,Hungary,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.362
863,2023,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.779
864,2022,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.212
865,2021,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,40.041
866,2020,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.509
867,2019,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.492
868,2018,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,40.345
869,2017,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.722
870,2016,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.212
871,2015,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.946
872,2014,Greece,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.687
873,2023,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.057
874,2022,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.647
875,2021,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.781
876,2020,Germany,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.652
