TIME_PERIOD,STANDARD_REVENUE,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Switzerland,Chile,China (People’s Republic of),Cameroon,Colombia,Cabo Verde,Costa Rica,Czechia,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Georgia,Greece,Hong Kong (China),Croatia,Hungary,Indonesia,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Morocco,Madagascar,Mexico,Malta,Netherlands,Norway,New Zealand,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,Sweden,Türkiye,United States,South Africa,Zambia
1995,Social security contributions (SSC),4.246,0.0,14.713,14.038,6.629,6.688,4.845,6.694,1.177,,0.769,3.642,0.0,5.665,14.175,14.148,0.054,11.263,11.881,13.717,18.125,5.212,1.62,8.995,,15.368,14.53,,4.307,2.485,4.706,12.103,8.527,2.268,7.204,9.717,10.971,,,2.085,6.433,14.705,9.404,0.0,11.088,7.67,7.663,,,14.678,17.285,12.47,1.978,6.682,0.0,
1995,Taxes on property,0.969,2.482,0.612,1.636,0.177,1.002,3.692,2.018,1.142,,0.151,0.421,0.806,0.195,0.475,1.005,1.669,1.783,0.351,0.988,2.838,2.939,0.444,1.69,,0.711,0.497,,1.421,2.793,3.613,2.172,3.087,2.618,0.322,2.573,1.004,,0.073,0.231,1.073,1.566,1.126,1.91,1.266,0.927,0.603,,,0.561,0.544,1.221,0.499,3.0,0.342,
1995,Taxes on goods and services,10.096,8.186,11.984,10.834,8.402,13.02,8.797,5.43,11.371,,6.086,6.936,9.349,8.999,11.011,10.16,15.165,9.151,12.252,13.619,12.034,10.333,2.643,11.765,,19.812,16.566,,12.84,14.96,12.261,10.494,4.015,7.64,11.799,9.195,11.211,,5.371,3.789,12.442,10.617,14.995,11.867,12.99,12.863,8.709,,,14.161,14.786,12.693,6.154,4.779,8.499,
1995,Total tax revenue,18.125,28.211,41.271,42.837,20.178,26.775,34.628,24.968,18.176,,9.213,16.032,15.261,18.927,34.255,36.312,46.603,31.307,34.998,44.5,42.697,29.301,7.282,28.313,,41.914,40.77,,31.772,30.725,33.929,38.455,25.401,18.766,27.652,35.992,29.715,,6.579,9.575,28.279,37.193,39.584,35.56,36.577,29.184,27.611,,,39.481,39.137,45.106,16.378,26.55,19.573,
1996,"Taxes on income, profits and capital gains of individuals and corporations",2.296,16.246,11.787,16.331,5.711,4.963,16.475,11.173,4.894,,2.201,3.655,5.07,2.168,7.428,10.207,29.433,9.059,9.109,17.672,7.365,10.649,1.94,5.652,,6.659,8.673,,13.31,11.127,11.364,13.906,9.659,5.522,7.93,14.702,6.625,,1.274,3.113,6.751,10.458,14.504,20.067,10.398,8.346,9.829,,,8.848,6.86,18.29,4.832,12.752,11.255,
1996,Social security contributions (SSC),3.536,0.0,14.739,14.106,6.586,6.834,4.892,6.731,1.244,,0.771,3.93,0.0,5.849,14.141,14.356,0.064,11.08,11.493,13.214,18.185,5.11,1.744,9.057,,15.565,13.522,,4.058,2.746,4.736,13.682,8.575,2.581,7.687,9.752,10.304,,,2.005,6.333,14.139,9.201,0.0,11.362,7.543,7.253,,,15.541,15.575,13.378,2.907,6.61,0.0,
1996,Taxes on property,1.06,2.593,0.607,1.781,0.187,0.86,3.677,2.121,1.247,,0.08,0.491,0.822,0.292,0.486,1.083,1.602,1.761,0.366,1.03,2.946,2.991,0.493,1.8,,1.074,0.598,,1.506,2.64,3.489,2.154,2.989,2.498,0.362,2.796,1.07,,0.075,0.208,0.96,1.687,1.119,1.879,1.308,0.874,0.249,,,0.652,0.528,1.696,0.331,3.009,0.335,
1996,Taxes on goods and services,10.457,8.065,12.371,11.134,8.944,12.503,8.724,5.357,12.205,,6.253,7.412,9.075,9.615,10.829,10.013,15.566,9.209,12.856,13.683,12.434,10.347,4.746,11.945,,19.123,16.037,,12.72,15.373,12.34,10.351,4.057,8.069,11.284,9.165,11.169,,5.311,3.726,11.683,10.846,14.677,11.82,13.192,13.065,8.53,,,13.536,14.549,12.238,7.066,4.674,8.331,
1996,Total tax revenue,17.66,28.852,42.641,43.351,21.429,25.924,34.941,25.425,19.408,,9.31,16.708,14.967,19.862,32.905,35.666,46.875,31.11,33.824,45.69,43.831,29.097,10.209,28.455,,42.422,39.421,,32.311,31.886,33.506,40.154,25.343,19.359,27.264,36.459,29.167,,6.768,9.426,25.726,37.272,39.503,33.766,36.555,29.862,25.862,,,38.577,38.141,46.748,18.451,27.044,20.119,
1997,"Taxes on income, profits and capital gains of individuals and corporations",2.592,16.185,12.378,16.734,12.051,4.82,17.483,10.815,4.5,,2.279,3.909,5.112,2.154,7.905,9.952,29.275,9.341,9.04,17.208,7.94,11.014,2.419,6.387,,6.226,8.2,3.586,13.292,11.324,12.179,14.681,9.525,4.966,8.679,14.729,7.228,,1.502,3.489,7.69,10.035,15.429,20.263,10.17,8.419,9.51,2.555,,8.57,6.919,18.748,5.55,13.245,11.529,
1997,Social security contributions (SSC),3.391,0.0,14.693,13.927,7.448,6.68,4.765,6.699,1.25,,0.742,4.09,0.0,5.848,14.468,14.551,0.088,11.225,11.112,12.422,17.696,5.308,1.496,9.269,,15.126,12.77,,3.83,2.754,4.976,13.979,8.822,2.691,8.976,9.54,10.183,,,1.859,6.435,13.999,9.118,0.0,11.511,7.721,6.967,0.481,,14.65,14.823,13.352,2.932,6.593,0.0,
1997,Taxes on property,1.032,2.631,0.576,1.923,0.087,1.676,3.67,2.213,1.3,,0.073,0.5,0.783,0.291,0.514,0.974,1.626,2.001,0.377,1.045,3.117,3.104,0.645,1.968,,1.156,0.58,0.32,1.52,2.556,3.312,2.106,2.89,2.415,0.405,2.953,1.135,,0.108,0.193,0.886,1.763,1.086,1.828,1.348,0.881,0.193,0.289,,0.644,0.624,1.806,0.546,3.008,0.333,
1997,Taxes on goods and services,11.052,7.88,12.651,11.228,9.473,12.161,8.744,5.331,12.008,,6.386,7.35,8.671,9.704,10.307,9.867,15.541,9.379,13.023,14.213,12.272,10.392,7.638,11.937,,18.446,14.837,3.614,12.366,14.955,12.215,10.754,4.435,8.114,13.188,9.439,11.706,,5.974,4.096,11.834,10.809,14.664,11.802,12.719,12.744,9.012,8.521,,12.616,13.563,12.208,7.512,4.639,8.28,
1997,Total tax revenue,18.448,28.61,43.44,43.812,29.059,26.08,35.791,25.103,18.876,,9.481,17.382,14.567,20.153,33.204,35.35,46.828,31.949,33.553,44.938,43.963,29.817,12.669,29.561,,40.953,37.743,7.599,31.356,31.588,34.198,41.574,25.736,18.988,31.248,36.705,30.251,,7.72,10.038,26.846,36.737,40.298,33.893,36.059,29.799,26.406,12.192,,36.48,37.063,47.641,20.229,27.484,20.363,
1998,"Taxes on income, profits and capital gains of individuals and corporations",2.874,17.303,12.514,17.294,9.872,5.414,17.269,11.358,4.062,,2.886,3.853,5.096,2.419,7.428,10.439,28.829,9.472,10.209,17.63,10.072,12.157,2.679,7.7,,7.039,8.37,2.993,13.068,12.7,11.967,13.061,8.487,5.769,8.93,14.547,7.496,,1.437,3.569,6.918,9.728,15.349,18.75,10.09,8.215,8.305,2.665,,8.389,6.715,18.58,6.834,13.6,12.35,
1998,Social security contributions (SSC),3.296,0.0,14.608,13.979,7.767,7.029,4.956,6.427,1.316,,0.736,3.502,0.0,6.005,14.227,14.38,0.085,11.295,11.046,12.211,15.688,5.307,2.033,9.478,,13.997,12.555,,3.591,2.666,4.935,11.681,8.961,3.142,9.985,9.788,10.114,,,1.798,5.99,13.768,9.691,0.0,11.496,7.703,9.231,0.483,,14.598,14.931,13.115,2.982,6.653,0.0,
