TIME_PERIOD,REF_AREA,value,decade,region
1995,France,20.73448241789688,1990,Europe
1995,Germany,23.72244379396861,1990,Europe
1995,Greece,15.207739247373928,1990,Europe
1995,Hong Kong (China),24.71364847303444,1990,Asia
1995,Hungary,9.21610064512756,1990,Europe
1995,Iceland,23.944562453253557,1990,Europe
1995,Indonesia,5.627464160649069,1990,Asia
1995,Ireland,18.97119040346541,1990,Europe
1995,Israel,20.394980703593816,1990,Other
1995,Italy,22.431236166159135,1990,Europe
1995,Japan,23.86591363723333,1990,Asia
1995,Korea,14.001921207282727,1990,Asia
1995,Latvia,5.342655254216277,1990,Europe
1995,Lithuania,5.967199856713785,1990,Europe
1995,Luxembourg,38.236779386196254,1990,Europe
1995,Malta,13.96800023293734,1990,Other
1995,Mexico,8.590138575510636,1990,Americas
1995,Netherlands,23.464761627530887,1990,Europe
1995,New Zealand,17.801809461876115,1990,Oceania
1995,Norway,24.345328056893784,1990,Europe
1995,Poland,7.773947171783147,1990,Europe
1995,Portugal,14.396831055030354,1990,Europe
1995,Romania,5.42620172435458,1990,Other
1995,Singapore,35.08515120567376,1990,Asia
1995,Slovak Republic,8.80379098389311,1990,Europe
1995,Slovenia,13.636315683347169,1990,Europe
1995,South Africa,7.617036296864643,1990,Other
1995,Spain,16.26723190562074,1990,Europe
1995,Sweden,23.06130796455166,1990,Europe
1995,Switzerland,30.56455706816756,1990,Europe
1995,Türkiye,10.10425431755807,1990,Other
1995,United Kingdom,20.57891317535545,1990,Europe
1995,United States,28.657512716251293,1990,Americas
1996,Australia,23.29099208785495,1990,Oceania
1996,Austria,24.41766306287109,1990,Europe
1996,Belgium,22.736835456747336,1990,Europe
1996,Brazil,8.322668499082003,1990,Americas
1996,Bulgaria,6.846447002484567,1990,Other
1996,Cameroon,1.7183897358814688,1990,Other
1996,Canada,24.05017612501198,1990,Americas
1996,Chile,7.970381084476425,1990,Americas
1996,China (People’s Republic of),2.0769327374192126,1990,Other
1996,Colombia,6.767940573256575,1990,Americas
1996,Costa Rica,6.951481994003117,1990,Americas
1996,Croatia,8.802351804229755,1990,Other
1996,Czechia,14.775164165491963,1990,Europe
1996,Denmark,23.71673131328794,1990,Europe
1996,Estonia,6.842858546168958,1990,Europe
1996,Finland,20.05988447878859,1990,Europe
1996,France,21.311383966315507,1990,Europe
1996,Germany,24.293175656101933,1990,Europe
1996,Greece,15.77248819637922,1990,Europe
1996,Hong Kong (China),25.100206060606062,1990,Asia
1996,Hungary,9.384080844608572,1990,Europe
1996,Iceland,24.768549646708816,1990,Europe
1996,Indonesia,6.093356242552514,1990,Asia
1996,Ireland,20.538369598190894,1990,Europe
1996,Israel,21.28599878242022,1990,Other
1996,Italy,23.092176826362152,1990,Europe
1996,Japan,25.009682088281853,1990,Asia
1996,Korea,15.23739428885228,1990,Asia
1996,Latvia,5.63671788192678,1990,Europe
1996,Lithuania,6.419671408338431,1990,Europe
1996,Luxembourg,39.684745525524654,1990,Europe
1996,Malta,14.652635013868494,1990,Other
1996,Mexico,9.15694888242227,1990,Americas
1996,Netherlands,24.555749001931744,1990,Europe
1996,New Zealand,18.366342700077382,1990,Oceania
1996,Norway,26.818371376398083,1990,Europe
1996,Poland,8.379964794066181,1990,Europe
1996,Portugal,14.916452643570688,1990,Europe
1996,Romania,5.7464220028468285,1990,Other
1996,Singapore,36.869730591119584,1990,Asia
1996,Slovak Republic,9.495536365612336,1990,Europe
1996,Slovenia,14.270201461814322,1990,Europe
1996,South Africa,7.929814717330885,1990,Other
1996,Spain,16.967322736902183,1990,Europe
1996,Sweden,23.939226215047075,1990,Europe
1996,Switzerland,31.23168235302801,1990,Europe
1996,Türkiye,10.828153302236652,1990,Other
1996,United Kingdom,21.93954356646723,1990,Europe
1996,United States,29.93215776711628,1990,Americas
1997,Australia,24.47819547884532,1990,Oceania
1997,Austria,25.294723383074963,1990,Europe
1997,Belgium,23.729158996925552,1990,Europe
